taxonID;name
1671;Vulpia bromoides
222815;Corydalis cava
475;Corydalis gotlandica
222817;Corydalis intermedia
222820;Corydalis pumila
222821;Corydalis solida
224897;Corydalis solida subsp. incisa
224898;Corydalis solida subsp. solida
222795;Berberis vulgaris
219914;Aconitum lycoctonum
224885;Aconitum lycoctonum subsp. septentrionale
6;Aconitum napellus
224886;Aconitum napellus subsp. lusitanicum
9;Adonis vernalis
222782;Anemone nemorosa
222784;Anemone sylvestris
222787;Anemonidium canadense
222790;Aquilegia vulgaris
220009;Caltha palustris
224890;Caltha palustris subsp. radicans
222897;Ficaria verna
224924;Ficaria verna subsp. verna
1362;Halerpestes cymbalaria
221534;Helleborus foetidus
220831;Myosurus minimus
1332;Pulsatilla patens
222884;Pulsatilla pratensis
1853;Pulsatilla vernalis
222886;Pulsatilla vulgaris
1333;Pulsatilla vulgaris subsp. gotlandica
224913;Pulsatilla vulgaris subsp. vulgaris
222887;Ranunculus acris
224915;Ranunculus acris subsp. acris
266295;Ranunculus abortificus
266296;Ranunculus acarpellophorus
266297;Ranunculus acrifoliiformis
266298;Ranunculus acrifolius
266299;Ranunculus acuistylus
266300;Ranunculus acutidentiformis
266301;Ranunculus acutimammus
266302;Ranunculus acutipartitus
266303;Ranunculus acutiserratus
266304;Ranunculus acutiusculus
266305;Ranunculus aequalis
266306;Ranunculus aequidens
266307;Ranunculus afzelii
266308;Ranunculus agynophorus
266309;Ranunculus albertsonii
266310;Ranunculus alcicornis
266311;Ranunculus almquistii
266312;Ranunculus amoenoviridis
266313;Ranunculus amplisinus
266314;Ranunculus anandrophyllus
266315;Ranunculus anandrus
266316;Ranunculus ancorifolius
266317;Ranunculus anemonophyllus
266318;Ranunculus angustifidus
266319;Ranunculus angustilobulus
266320;Ranunculus angustitorus
266321;Ranunculus angustus
266322;Ranunculus apertiformis
266323;Ranunculus apertisinus
266324;Ranunculus apertus
266325;Ranunculus arcuiformans
266326;Ranunculus ariodon
266327;Ranunculus arwidssonii
266328;Ranunculus asplundii
266329;Ranunculus asymmetrus
266330;Ranunculus attenuans
266331;Ranunculus aurosulus
266332;Ranunculus bellulus
266333;Ranunculus bicolor
266334;Ranunculus bottnicus
266335;Ranunculus brachygynophorus
266336;Ranunculus brachyphyllarius
266337;Ranunculus brachyschides
266338;Ranunculus brevidens
266339;Ranunculus brevifidus
266340;Ranunculus brevistylus
266341;Ranunculus brunnescens
266342;Ranunculus caespitans
266343;Ranunculus caespitosulus
266344;Ranunculus calvescens
266345;Ranunculus campanulatus
266346;Ranunculus canaster
266347;Ranunculus canastriformis
266348;Ranunculus cancrifolius
266349;Ranunculus carnosulus
266350;Ranunculus chlorellus
266351;Ranunculus cinereoviridis
266352;Ranunculus circinans
266353;Ranunculus clavulifer
266354;Ranunculus coleophorus
266355;Ranunculus collanderi
266356;Ranunculus compluridens
266357;Ranunculus concavus
266358;Ranunculus concinnifolius
266359;Ranunculus concinnifrons
266360;Ranunculus concretus
266361;Ranunculus coniformis
266362;Ranunculus consectus
266363;Ranunculus corylisinus
266364;Ranunculus crassiusculus
266365;Ranunculus crassus
266366;Ranunculus crenifer
266367;Ranunculus crenifolius
266368;Ranunculus cuneaticans
266369;Ranunculus curvatus
266370;Ranunculus curvicaulis
222891;Ranunculus bulbosus
222898;Ranunculus flammula
222900;Ranunculus glacialis
1364;Ranunculus hederaceus
232280;Ranunculus hyperboreus
224926;Ranunculus hyperboreus subsp. hyperboreus
1911;Ranunculus illyricus
222909;Ranunculus nivalis
222914;Ranunculus polyanthemos
