taxonID;name;vernacular;Observationer
229708;Polydesmia lichenis;;10
228810;Epicladonia sandstedei;;10
229795;Thelignya lacustris;;10
229200;Synalissina degeliana;;10
264146;Vezdaea retigera;markmetallav;10
2287;Pohlia nutans subsp. schimperi;fjällnicka;10
382;Cnestrum glaucescens;fjällmyggmossa;10
217656;Tortula acaulon var. schreberiana;;10
579;Encalypta affinis subsp. macounii;Macouns klockmossa;10
2655;Sphagnum cuspidatum var. viride;grön flytvitmossa;10
103649;Agabus thomsoni;;10
105966;Callosobruchus chinensis;kinesisk bönbagge;10
100558;Cassida seladonia;ullörtssköldbagge;10
106048;Gonioctena flavicornis;småvidebagge;10
100987;Galeruca melanocephala;;10
101553;Phloiophilus edwardsii;;10
100506;Brachytemnus porcatus;tallvedvivel;10
102268;Helophorus pallidus;;10
103953;Colon brundini;;10
103908;Leiodes rubiginosa;;10
100498;Borboropora kraatzii;;10
101024;Gyrophaena obsoleta;;10
101025;Gyrophaena orientalis;;10
101573;Phytosus spinifer;mörk sandkortvinge;10
101581;Placusa pumilio;;10
104409;Porrhodites fenestralis;;10
209971;Hypopycna rufula;;10
104457;Thinobius flagellatus;;10
104447;Scaphisoma balcanicum;;10
249043;Trichiosoma sorbi;;10
249058;Microdiprion pallipes;lilla tallstekeln;10
248966;Heptamelus ochroleucus;;10
261467;Ametastegia albipes;;10
261494;Empria tridens;;10
261578;Rhadinoceraea micans;;10
261782;Euura dispar;;10
261676;Euura schlueteri;;10
261682;Euura tillbergi;;10
261864;Phyllocolpa tuberculata;;10
261952;Pristiphora platycerus;;10
262017;Rhogogaster genistae;;10
249436;Cephalonomia formiciformis;;10
249207;Anteon tripartitum;;10
100574;Ceropales variegata;mindre snyltvägstekel;10
251894;Ceraphron pedes;;10
206585;Bothriothorax serratellus;;10
206602;Coelopencyrtus arenarius;;10
206639;Ectroma fulvescens;;10
206660;Homalotyloidea dahlbomii;;10
206706;Psyllaephagus lusitanicus;;10
207115;Necremnus leucarthros;;10
206832;Aprostocetus meroe;;10
206873;Aprostocetus tenuiradialis;;10
6052656;Tetrastichus inscitus;;10
6008042;Eupelmus linearis;;10
207307;Eurytoma compressa;;10
207316;Eurytoma flavimana;;10
207347;Sycophila submutica;;10
208120;Megastigmus brevicaudis;;10
207422;Perilampus ruficornis;;10
207604;Gastrancistrus vulgaris;;10
207625;Halticoptera poreia;;10
207688;Leptomeraporus nicaee;;10
207720;Mesopolobus diffinis;;10
207863;Pteromalus ochrocerus;;10
208169;Torymus erucarum;;10
208223;Torymus varians;;10
252298;Andricus quercusradicis;;10
252501;Phaenoglyphis xanthochroa;;10
252504;Cothonaspis pentatoma;;10
252579;Trybliographa albipennis;;10
252618;Trischiza agaricolarum;;10
251664;Basalys helicicola;;10
251797;Trichopria modesta;;10
251360;Aclista bispinosa;;10
251369;Aclista evadne;;10
251482;Belyta pelias;;10
251577;Pantolyta atrata;;10
251608;Zygota nigra;;10
248882;Aphidius funebris;;10
248820;Ephedrus cerasicola;;10
248815;Ephedrus chaitophori;;10
248822;Ephedrus helleni;;10
248824;Ephedrus lacertosus;;10
248908;Lipolexis gracilis;;10
248863;Pauesia juniperorum;;10
6005369;Chelonus corvulus;;10
253107;Doryctes leucogaster;;10
253114;Hypodoryctes sibiricus;;10
253124;Allurus lituratus;;10
253179;Meteorus pulchricornis;;10
6002587;Meteorus sibyllae;;10
6002588;Meteorus stenomastax;;10
253265;Homolobus discolor;;10
253878;Coleocentrus heteropus;;10
253894;Adelognathus nigrifrons;;10
253908;Agrypon anxium;;10
253991;Lissonota magdalenae;;10
6331952;Lissonota parabuccator;;10
254034;Exetastes geniculosus;;10
254149;Casinaria mesozosta;;10
254180;Diadegma hygrobium;;10
254188;Diadegma nanus;;10
6040040;Dusona inermis;;10
254581;Polytribax rufipes;;10
254509;Trychosis neglecta;;10
254513;Xylophrurus augustus;;10
254977;Anisotacrus xanthostigma;;10
255057;Synodites notatus;;10
255146;Campodorus lituratus;;10
255168;Campodorus spurius;;10
255189;Lagarotis debitor;;10
255193;Lagarotis semicaligata;;10
255227;Mesoleius grossulariae;;10
255248;Neostroblia ruficollis;;10
