Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
102295;5642;Longitarsus pellucidus;åkervindejordloppa;Art;61;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2b(iii)
102296;5643;Longitarsus plantagomaritimus;gulkämpsjordloppa;Art;14;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;NT;B2b(iii)
101239;5646;Longitarsus quadriguttatus;hundtungejordloppa;Art;12;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse;EN;B1ab(iii)c(iv)+2ab(iii)c(iv)
101240;5647;Longitarsus reichei;strandängsjordloppa;Art;56;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;NT;B2b(iii)
233795;5649;Longitarsus substriatus;gamanderjordloppa;Art;60;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
233796;5654;Longitarsus tristis;toppfrossörtsjordloppa;Art;33;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
106141;5662;Mantura obtusata;ängssyrejordloppa;Art;44;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
106142;5663;Mantura rustica;skräppejordloppa;Art;57;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
106088;5688;Phyllotreta dilatata;vattenfränejordloppa;Art;30;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2b(iii)c(iv)
101660;5711;Psylliodes chalcomera;blå tisteljordloppa;Art;68;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2b(iii)c(iv)
101661;5715;Psylliodes cuprea;vägsenapsjordloppa;Art;45;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2b(iii)c(iv)
101662;5718;Psylliodes hyoscyami;bolmörtsjordloppa;Art;18;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;EN;B2ab(iii)c(iv)
101664;5725;Psylliodes tricolor;stillfröjordloppa;Art;162;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2b(iii)c(iv)
100555;5785;Cassida ferruginea;krisslesköldbagge;Art;241;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse;NT;B2ab(iii)
100556;5791;Cassida murraea;leopardsköldbagge;Art;517;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii)
100557;5796;Cassida prasina;ängssköldbagge;Art;38;Jordbrukslandskap (J) - Stor betydelse;NT;B2b(iii)
100558;5800;Cassida seladonia;ullörtssköldbagge;Art;10;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;EN;B1ab(iii,iv)c(iv)+2ab(iii,iv)c(iv)
101575;5809;Pilemostoma fastuosum;pantersköldbagge;Art;74;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;VU;B1ab(iii,iv)+2ab(iii,iv)
102210;5817;Chrysolina analis;mindre röllikebagge;Art;414;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
100638;5826;Chrysolina gypsophilae;strimsporrebagge;Art;162;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2ab(iii)
100639;5834;Chrysolina limbata;brämbladbagge;Art;136;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
106025;5845;Chrysolina sturmi;jordrevebagge;Art;94;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
